id,name,code,enabled,version,source,initialized,create_date,update_date,discriminator_type
"1","おすすめ商品管理プラグイン","Recommend4","0","4.0.0","104","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"2","Coupon Plugin for EC-CUBE4","Coupon4","0","4.0.7","101","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"3","メールマガジンプラグイン","MailMagazine4","0","4.0.2","102","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"4","売上集計プラグイン","SalesReport4","0","4.0.1","106","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"5","関連商品プラグイン","RelatedProduct4","0","4.0.1","105","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"6","Securitychecker4","Securitychecker4","0","4.0.1","107","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"7","商品レビュー管理プラグイン","ProductReview4","0","4.0.2","103","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"8","Web API","Api","0","1.0.0","100","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"9","Site Kit プラグイン","SiteKit","0","1.0.0","2158","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
"10","Google Merchant Center","GMC","0","1.0.3","2144","0","2021-08-01 09:00:00","2021-08-01 09:00:00","plugin"
